Track #,Artist,Song,Length,Genre
1,Stick Figure,Above the Storm,4:20,Rock
2,Jack Johnson,Banana Pancakes,3:11,Rock
3,Zach Bryan,Better Days,3:20,Country
4,O.A.R.,I Feel Home,4:31,Rock
5,Stick Figure feat. Citizen Cope,Breathe,4:12,Rock
6,Tyler Childers,Universal Sound,4:18,Country
7,Bob Marley & The Wailers,Three Little Birds,3:00,Rock
8,Zach Bryan,God Speed,3:56,Country
9,The Lumineers,Ho Hey,2:43,Rock
10,Dispatch,The General,4:20,Rock
11,Chris Stapleton,Traveller,3:44,Country
12,Jimmy Buffett,Come Monday,3:10,Country
13,Tom Petty,Wildflowers,3:11,Classic Rock
14,O.A.R.,Shattered (Turn the Car Around),3:52,Rock
15,Sublime,Badfish,3:05,Rock
16,Luke Combs,Doin' This,3:01,Country
17,Fleetwood Mac,Dreams,4:14,Classic Rock
18,Morgan Wallen,Chasin' You,3:45,Country
19,Dirty Heads,Cabin by the Sea,3:44,Rock
20,Eric Church,Talladega,4:05,Country
21,Steve Miller Band,The Joker,4:26,Classic Rock
22,Zach Bryan,Highway Boys,2:47,Country
23,Kings of Leon,Back Down South,4:01,Rock
24,Snoop Dogg feat. Pharrell,Beautiful,4:59,Rap
25,Whiskey Myers,On the River,3:53,Country
26,Tom Petty,Learning to Fly,4:02,Classic Rock
27,311,Amber,3:28,Rock
28,Kanye West feat. T-Pain,Good Life,3:27,Rap
29,The Black Keys,Tighten Up,3:31,Rock
30,Riley Green,There Was This Girl,3:15,Country
31,Jay-Z feat. Pharrell,I Just Wanna Love U (Give It 2 Me),3:48,Rap
32,Sublime,Doin' Time,4:12,Rock
33,Midland,Drinkin' Problem,4:00,Country
34,Red Hot Chili Peppers,Scar Tissue,3:36,Rock
35,Nelly,Country Grammar (Hot Shit),4:47,Rap
36,Eagles,Peaceful Easy Feeling,4:16,Classic Rock
37,Cody Jinks,Hippies and Cowboys,4:33,Country
38,50 Cent feat. Nate Dogg,21 Questions,3:44,Rap
39,Counting Crows,Mr. Jones,4:32,Rock
40,Turnpike Troubadours,"Gin, Smoke, Lies",3:03,Country
41,O.A.R.,Hey Girl,3:37,Rock
42,Eminem,My Name Is,4:28,Rap
43,HARDY feat. Lauren Alaina & Devin Dawson,One Beer,3:13,Country
44,Third Eye Blind,Never Let You Go,3:58,Rock
45,Ludacris,Rollout (My Business),4:33,Rap
46,Morgan Wallen feat. Florida Georgia Line,Up Down,2:54,Country
47,Ma$e,Feel So Good,3:54,Rap
48,Blink-182,The Rock Show,2:52,Rock
49,Outkast,Rosa Parks,5:24,Rap
50,Creedence Clearwater Revival,Up Around the Bend,2:42,Classic Rock
51,Koe Wetzel,Something to Talk About,3:35,Country
52,Big Tymers,Still Fly,4:58,Rap
53,Brooks & Dunn,Boot Scootin' Boogie,3:17,Country
54,2Pac feat. Digital Underground,I Get Around,4:19,Rap
55,Green Day,When I Come Around,2:58,Rock
56,LL Cool J,Mama Said Knock You Out,4:53,Rap
57,Snoop Dogg,Who Am I? (What's My Name?),4:07,Rap
58,Jason Aldean,Hicktown,3:31,Country
59,Eminem,Berzerk,3:58,Rap
60,The Offspring,Self Esteem,4:17,Rock
61,Toby Keith,Should've Been a Cowboy,3:29,Country
62,Ice Cube,Check Yo Self (Remix),3:42,Rap
63,Pearl Jam,Corduroy,4:37,Rock
64,Chris Janson,Buy Me a Boat,2:52,Country
65,Busta Rhymes feat. P. Diddy & Pharrell,"Pass the Courvoisier, Part II",3:45,Rap
66,Nas,Street Dreams,4:39,Rap
67,Kid Rock,Cowboy,4:17,Rock
68,Method Man & Redman,Da Rockwilder,2:18,Rap
69,Alabama,Mountain Music,4:10,Country
70,Ja Rule feat. Case,Livin' It Up,4:17,Rap
71,Bon Jovi,You Give Love a Bad Name,3:43,Classic Rock
72,Alan Jackson,Chattahoochee,3:57,Country
73,Journey,Any Way You Want It,3:22,Classic Rock
74,Bryan Adams,Summer of '69,3:34,Classic Rock
