Track #,Artist,Song,Length,Genre
1,DMX,Ruff Ryders' Anthem,3:34,Rap
2,Lil Jon & The East Side Boyz feat. Ying Yang Twins,Get Low,5:34,Rap
3,Dr. Dre feat. Eminem,Forgot About Dre,3:42,Rap
4,Juvenile feat. Mannie Fresh & Lil Wayne,Back That Azz Up,4:25,Rap
5,50 Cent,P.I.M.P.,4:09,Rap
6,Jay-Z feat. UGK,Big Pimpin',4:44,Rap
7,Ludacris feat. Mystikal & I-20,Move Bitch,4:29,Rap
8,Outkast,B.O.B. (Bombs Over Baghdad),5:04,Rap
9,Terror Squad,Lean Back,4:07,Rap
10,Nelly,Hot in Herre,3:48,Rap
11,Snoop Dogg,Gin and Juice,3:31,Rap
12,Kid Rock,Bawitdaba,4:26,Rock
13,Chamillionaire feat. Krayzie Bone,Ridin',5:03,Rap
14,T.I.,Bring 'Em Out,3:34,Rap
15,Busta Rhymes,Break Ya Neck,3:55,Rap
16,HARDY,Sold Out,3:15,Country
17,Lil Wayne,A Milli,3:41,Rap
18,Three 6 Mafia feat. Young Buck & 8Ball & MJG,Stay Fly,4:13,Rap
19,Kanye West,POWER,4:52,Rap
20,DMX,Party Up (Up in Here),4:32,Rap
21,Eminem feat. Dr. Dre & 50 Cent,Crack a Bottle,4:57,Rap
22,Ja Rule feat. Fat Joe & Jadakiss,New York,4:19,Rap
23,Blink-182,Feeling This,2:53,Rock
24,Jay-Z,Show Me What You Got,4:29,Rap
25,Nas,Made You Look,3:26,Rap
26,Waka Flocka Flame feat. Roscoe Dash & Wale,No Hands,4:23,Rap
27,Koe Wetzel,Creeps,3:26,Country
28,2Pac,Hit 'Em Up,5:13,Rap
29,Beastie Boys,(You Gotta) Fight for Your Right (To Party),3:28,Rap
30,Petey Pablo,Raise Up,4:19,Rap
31,Brantley Gilbert,Bottoms Up,4:14,Country
32,50 Cent,Just a Lil Bit,3:57,Rap
33,Young Jeezy feat. Akon,Soul Survivor,4:40,Rap
34,Eminem,Rap God,6:03,Rap
35,Rage Against the Machine,Killing in the Name,5:14,Rock
36,Trick Daddy feat. Twista & Lil Jon,Let's Go,4:35,Rap
37,Lil Durk feat. Morgan Wallen,Broadway Girls,3:27,Rap
38,AC/DC,T.N.T.,3:34,Classic Rock
39,The Notorious B.I.G. feat. Bone Thugs-N-Harmony,Notorious Thugs,6:07,Rap
40,Nelly,#1,4:47,Rap
41,Limp Bizkit,Rollin' (Air Raid Vehicle),3:33,Rock
42,Lil Wayne,Go DJ,4:22,Rap
43,Usher feat. Lil Jon & Ludacris,Yeah!,4:10,Rap
44,Jason Aldean,She's Country,3:29,Country
45,"Kanye West feat. Big Sean, Pusha T & 2 Chainz",Mercy,5:29,Rap
46,Cypress Hill,Insane in the Brain,3:28,Rap
47,Green Day,American Idiot,2:54,Rock
48,T.I.,What You Know,4:33,Rap
49,Lil Scrappy feat. Young Buck,Money in the Bank,4:07,Rap
50,Luke Bryan,Country Girl (Shake It for Me),3:45,Country
51,DMX,Where the Hood At,4:24,Rap
52,Ludacris feat. Shawnna,What's Your Fantasy,4:20,Rap
53,Foo Fighters,All My Life,4:23,Rock
54,2Pac,Ambitionz Az a Ridah,4:39,Rap
55,Kid Rock,American Bad Ass,4:26,Rock
56,E-40 feat. Keak da Sneak,Tell Me When to Go,3:55,Rap
57,Eric Church,Smoke a Little Smoke,3:59,Country
58,Jay-Z feat. Jermaine Dupri,Money Ain't a Thang,4:26,Rap
59,Ram Jam,Black Betty,3:57,Classic Rock
60,Nappy Roots,Awnaw,4:14,Rap
61,Twista feat. Kanye West & Jamie Foxx,Slow Jamz,5:16,Rap
62,Sublime,Same in the End,2:36,Rock
63,Onyx,Slam,3:38,Rap
64,"DJ Khaled feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross",All I Do Is Win,3:51,Rap
65,Guns N' Roses,Welcome to the Jungle,4:31,Classic Rock
