Track #,Artist,Song,Length,Genre
1,Kings of Leon,Sex on Fire,3:23,Rock
2,Jay-Z,Izzo (H.O.V.A.),4:00,Rap
3,Luke Combs,Beer Never Broke My Heart,3:06,Country
4,AC/DC,You Shook Me All Night Long,3:30,Classic Rock
5,Eminem,The Real Slim Shady,4:44,Rap
6,Zach Bryan,Oklahoma Smokeshow,3:15,Country
7,The Killers,When You Were Young,3:40,Rock
8,Dr. Dre feat. Snoop Dogg,Still D.R.E.,4:30,Rap
9,Morgan Wallen,Last Night,2:43,Country
10,Lynyrd Skynyrd,Gimme Three Steps,4:30,Classic Rock
11,House of Pain,Jump Around,3:37,Rap
12,Eric Church,Springsteen,4:23,Country
13,Foo Fighters,The Pretender,4:29,Rock
14,Warren G feat. Nate Dogg,Regulate,4:08,Rap
15,Tyler Childers,Whitehouse Road,3:47,Country
16,Guns N' Roses,Paradise City,6:46,Classic Rock
17,Kanye West feat. Jamie Foxx,Gold Digger,3:28,Rap
18,Turnpike Troubadours,Long Hot Summer Day,3:35,Country
19,Lit,My Own Worst Enemy,2:49,Rock
20,Snoop Dogg,Drop It Like It's Hot,4:30,Rap
21,Chris Stapleton,White Horse,4:00,Country
22,Tom Petty and the Heartbreakers,Mary Jane's Last Dance,4:33,Classic Rock
23,Nelly feat. City Spud,Ride wit Me,4:52,Rap
24,Koe Wetzel,"February 28, 2016",3:47,Country
25,Blink-182,All the Small Things,2:47,Rock
26,2Pac feat. Dr. Dre,California Love,4:44,Rap
27,Alabama,Dixieland Delight,3:53,Country
28,Van Halen,Panama,3:31,Classic Rock
29,The Notorious B.I.G.,Big Poppa,4:13,Rap
30,HARDY,Truck Bed,3:15,Country
31,Sublime,What I Got,2:51,Rock
32,Kendrick Lamar,HUMBLE.,2:57,Rap
33,Riley Green feat. Ella Langley,You Look Like You Love Me,3:03,Country
34,Beastie Boys,Sabotage,2:58,Rap
35,Eminem,Without Me,4:50,Rap
36,Toby Keith,As Good as I Once Was,3:57,Country
37,Weezer,Buddy Holly,2:39,Rock
38,Outkast,Ms. Jackson,4:30,Rap
39,Garth Brooks,Callin' Baton Rouge,2:37,Country
40,Led Zeppelin,Black Dog,4:55,Classic Rock
41,50 Cent feat. Olivia,Candy Shop,3:29,Rap
42,Whiskey Myers,Stone,4:04,Country
43,Red Hot Chili Peppers,Can't Stop,4:29,Rock
44,Jay-Z,Dirt Off Your Shoulder,4:05,Rap
45,Morgan Wallen,You Proof,2:37,Country
46,Creedence Clearwater Revival,Fortunate Son,2:20,Classic Rock
47,Ice Cube,It Was a Good Day,4:20,Rap
48,Zach Bryan,Something in the Orange,3:46,Country
49,Nirvana,Smells Like Teen Spirit,5:01,Rock
50,UGK feat. Outkast,Int'l Players Anthem (I Choose You),4:12,Rap
51,Cody Jinks,Loud and Heavy,4:33,Country
52,Queen,Don't Stop Me Now,3:29,Classic Rock
53,T.I. feat. Rihanna,Live Your Life,5:38,Rap
54,Dierks Bentley,Drunk on a Plane,4:15,Country
55,The White Stripes,Seven Nation Army,3:52,Rock
56,The Notorious B.I.G. feat. Mase & Puff Daddy,Mo Money Mo Problems,4:17,Rap
57,Luke Combs,Hurricane,3:43,Country
58,The Rolling Stones,Honky Tonk Women,3:03,Classic Rock
59,Kendrick Lamar,Not Like Us,4:34,Rap
60,Jason Aldean,Dirt Road Anthem,3:51,Country
61,O.A.R.,Love and Memories,3:20,Rock
62,J. Cole,No Role Modelz,4:52,Rap
63,Zach Top,Sounds Like the Radio,2:57,Country
64,Dirty Heads,Vacation,3:20,Rock
65,DMX,X Gon' Give It to Ya,3:37,Rap
66,Eagles,Life in the Fast Lane,4:46,Classic Rock
67,Ludacris,Stand Up,3:33,Rap
68,Stick Figure feat. Slightly Stoopid,World on Fire,4:23,Rock
69,Kid Cudi,Pursuit of Happiness,4:55,Rap
70,Travis Tritt,It's a Great Day to Be Alive,4:35,Country
71,Jimmy Eat World,The Middle,2:45,Rock
72,Kanye West feat. Lupe Fiasco,Touch the Sky,3:57,Rap
73,Outkast,Hey Ya!,3:55,Rap
74,Bon Jovi,It's My Life,3:44,Rock
