Track #,Artist,Song,Length,Genre
1,Van Morrison,Into the Mystic,3:29,Classic Rock
2,Zach Bryan,Pink Skies,3:07,Country
3,Tom Petty,Free Fallin',4:16,Classic Rock
4,Kenny Chesney feat. Uncle Kracker,When the Sun Goes Down,3:56,Country
5,The Allman Brothers Band,Blue Sky,5:09,Classic Rock
6,Morgan Wallen,Sand in My Boots,3:38,Country
7,Bob Seger,Night Moves,5:25,Classic Rock
8,Chris Stapleton,Starting Over,4:03,Country
9,Fleetwood Mac,Everywhere,3:41,Classic Rock
10,Eric Church,Give Me Back My Hometown,4:03,Country
11,Eagles,Tequila Sunrise,2:52,Classic Rock
12,Luke Combs,Fast Car,4:25,Country
13,Steve Miller Band,Fly Like an Eagle,4:42,Classic Rock
14,Tyler Childers,All Your'n,3:43,Country
15,Creedence Clearwater Revival,Have You Ever Seen the Rain,2:38,Classic Rock
16,Parker McCollum,Pretty Heart,3:05,Country
17,The Marshall Tucker Band,Can't You See,6:01,Classic Rock
18,Jimmy Buffett,Margaritaville,4:11,Country
19,Lynyrd Skynyrd,Simple Man,5:57,Classic Rock
20,Alan Jackson feat. Jimmy Buffett,It's Five O'Clock Somewhere,3:50,Country
21,The Doobie Brothers,Black Water,4:15,Classic Rock
22,Whiskey Myers,Broken Window Serenade,4:47,Country
23,Bob Seger,Against the Wind,5:33,Classic Rock
24,Zach Bryan,"Burn, Burn, Burn",4:03,Country
25,Turnpike Troubadours,7&7,3:20,Country
26,America,Ventura Highway,3:32,Classic Rock
27,Cody Jinks,Cast No Stones,4:20,Country
28,The Band,The Weight,4:34,Classic Rock
29,Jon Pardi,Head Over Boots,3:14,Country
30,Stick Figure,Golden Hour,4:34,Rock
31,Charles Wesley Godwin,Family Ties,3:39,Country
32,Eddie Money,Take Me Home Tonight,3:57,Classic Rock
33,Dire Straits,Walk of Life,4:12,Classic Rock
34,Randy Houser,Runnin' Outta Moonlight,3:14,Country
35,Tom Petty,You Don't Know How It Feels,4:47,Classic Rock
36,Jamey Johnson,In Color,5:05,Country
37,George Strait,Amarillo by Morning,2:29,Country
38,Van Morrison,Brown Eyed Girl,3:03,Classic Rock
