Track #,Artist,Song,Length,Genre
1,Zach Bryan,Nine Ball,3:17,Country
2,O.A.R.,Black Rock,4:16,Rock
3,Eminem,Sing for the Moment,5:40,Rap
4,Third Eye Blind,Jumper,4:33,Rock
5,Morgan Wallen,'98 Braves,3:41,Country
6,Boston,More Than a Feeling,4:45,Classic Rock
7,Jay-Z,Hard Knock Life (Ghetto Anthem),3:59,Rap
8,Luke Combs,She Got the Best of Me,3:12,Country
9,Green Day,Basket Case,3:01,Rock
10,Tom Petty,I Won't Back Down,2:56,Classic Rock
11,Nelly,Just a Dream,3:58,Rap
12,Eric Church,Record Year,3:45,Country
13,Oasis,Wonderwall,4:18,Rock
14,Zach Bryan,Oklahoma City,4:20,Country
15,Skee-Lo,I Wish,4:08,Rap
16,Whiskey Myers,Early Morning Shakes,4:31,Country
17,Foo Fighters,My Hero,4:20,Rock
18,2Pac feat. Talent,Changes,4:31,Rap
19,Alan Jackson,Drive (For Daddy Gene),4:02,Country
20,Matchbox Twenty,3AM,3:46,Rock
21,Fort Minor feat. Styles of Beyond,Remember the Name,3:50,Rap
22,Chris Stapleton,Broken Halos,3:03,Country
23,Counting Crows,Hanginaround,4:07,Rock
24,Ludacris feat. Nate Dogg,Area Codes,4:25,Rap
25,Tim McGraw,Something Like That,3:03,Country
26,The Wallflowers,One Headlight,5:14,Rock
27,Jay-Z feat. Alicia Keys,Empire State of Mind,4:36,Rap
28,Joe Diffie,Pickup Man,3:44,Country
29,Gin Blossoms,Hey Jealousy,3:56,Rock
30,Eminem,The Way I Am,4:50,Rap
31,Hootie & the Blowfish,Only Wanna Be with You,3:46,Rock
32,Zach Top,I Never Lie,3:15,Country
33,Stick Figure feat. Slightly Stoopid,Choice Is Yours,3:47,Rock
34,Nas,If I Ruled the World (Imagine That),4:42,Rap
35,Flatland Cavalry,A Life Where We Work Out,3:59,Country
36,Nine Days,Absolutely (Story of a Girl),3:09,Rock
37,Dr. Dre feat. Snoop Dogg,Nuthin' but a 'G' Thang,3:58,Rap
38,Kenny Chesney,Young,3:53,Country
39,Blink-182,First Date,2:51,Rock
40,Coolio feat. L.V.,Gangsta's Paradise,4:00,Rap
41,Brooks & Dunn,My Maria,3:48,Country
42,Vertical Horizon,Everything You Want,4:15,Rock
43,50 Cent,Wanksta,3:47,Rap
44,David Lee Murphy,Dust on the Bottle,3:53,Country
45,Incubus,Drive,3:52,Rock
46,Outkast,Elevators (Me & You),4:24,Rap
47,George Strait,Check Yes or No,3:12,Country
48,Collective Soul,Shine,5:05,Rock
49,The Notorious B.I.G.,Juicy,5:02,Rap
50,John Michael Montgomery,Sold (The Grundy County Auction Incident),2:52,Country
51,Red Hot Chili Peppers,Under the Bridge,4:24,Rock
52,Kanye West feat. Chris Martin,Homecoming,3:23,Rap
53,Garth Brooks,Ain't Goin' Down ('Til the Sun Comes Up),4:28,Country
54,Chingy,Right Thurr,4:08,Rap
55,Ja Rule feat. Ashanti,Always on Time,4:05,Rap
56,Dierks Bentley,What Was I Thinkin',3:45,Country
57,D12,My Band,4:59,Rap
58,T.I. feat. Justin Timberlake,Dead and Gone,4:57,Rap
59,Alan Jackson,Where I Come From,4:07,Country
60,Bruce Springsteen,Glory Days,4:15,Classic Rock
61,Mark Morrison,Return of the Mack,3:32,Rap
62,Luke Combs,Even Though I'm Leaving,3:43,Country
63,Foo Fighters,Best of You,4:15,Rock
64,Montell Jordan,This Is How We Do It,3:59,Rap
65,Zac Brown Band,Chicken Fried,3:58,Country
66,Pearl Jam,Alive,5:41,Rock
67,John Mellencamp,Jack & Diane,4:17,Classic Rock
68,Green Day,Good Riddance (Time of Your Life),2:34,Rock
