Track #,Artist,Song,Length,Genre
1,Jack Johnson,Better Together,3:27,Rock
2,Zach Bryan,Sun to Me,3:26,Country
3,Stick Figure,Once in a Lifetime,5:22,Rock
4,Chris Stapleton,Millionaire,3:56,Country
5,Jason Mraz,I'm Yours,4:02,Rock
6,Tyler Childers,Lady May,3:03,Country
7,O.A.R.,Peace,3:20,Rock
8,Ray LaMontagne,You Are the Best Thing,3:56,Rock
9,Zach Bryan feat. The Lumineers,Spotless,3:44,Country
10,Dispatch,Elias,3:40,Rock
11,Willie Nelson,On the Road Again,2:38,Country
12,Jack Johnson,Upside Down,3:28,Rock
13,Charles Wesley Godwin,All Again,3:44,Country
14,Slightly Stoopid,Closer to the Sun,3:53,Rock
15,Luke Combs,Beautiful Crazy,3:13,Country
16,The Lumineers,Stubborn Love,4:38,Rock
17,Sturgill Simpson,Turtles All the Way Down,2:56,Country
18,Bob Marley & The Wailers,Is This Love,3:52,Rock
19,John Mayer,Waiting on the World to Change,3:20,Rock
20,Riley Green,I Wish Grandpas Never Died,3:12,Country
21,Donavon Frankenreiter,Free,3:29,Rock
22,Flatland Cavalry,War with My Mind,3:26,Country
23,Dave Matthews Band,Satellite,4:51,Rock
24,Morgan Wallen,7 Summers,3:33,Country
25,Rebelution,Safe and Sound,3:43,Rock
26,Tyler Childers,Nose on the Grindstone,3:36,Country
27,Ben Harper,Steal My Kisses,4:04,Rock
28,Eric Church,Like Jesus Does,3:53,Country
29,Toad the Wet Sprocket,Walk on the Ocean,2:59,Rock
30,Zac Brown Band,Toes,4:22,Country
31,Michael Franti & Spearhead,Say Hey (I Love You),3:55,Rock
32,Colter Wall,Sleeping on the Blacktop,3:11,Country
33,Iration,Time Bomb,3:37,Rock
34,Turnpike Troubadours,The Bird Hunters,5:05,Country
35,Dirty Heads,Oxygen,3:23,Rock
36,Brooks & Dunn,Red Dirt Road,4:03,Country
37,Slightly Stoopid,Collie Man,3:44,Rock
38,Kip Moore,Somethin' 'Bout a Truck,3:24,Country
39,Goo Goo Dolls,Name,4:30,Rock
40,Stick Figure,Way of Life,4:20,Rock
41,Tim McGraw,Where the Green Grass Grows,3:22,Country
42,Fleetwood Mac,Never Going Back Again,2:14,Classic Rock
43,The Allman Brothers Band,Melissa,3:54,Classic Rock
44,Mt. Joy,Silver Lining,3:37,Rock
45,Xavier Rudd,Follow the Sun,4:10,Rock
46,Kenny Chesney,American Kids,3:26,Country
47,Eagles,Seven Bridges Road,3:01,Classic Rock
48,Creedence Clearwater Revival,Lookin' Out My Back Door,2:33,Classic Rock
