Track #,Artist,Song,Length,Genre
1,Kenny Chesney,"No Shoes, No Shirt, No Problems",3:35,Country
2,Sublime,Caress Me Down,3:32,Rock
3,Jay-Z,Heart of the City (Ain't No Love),3:43,Rap
4,Eric Church,Guys Like Me,3:35,Country
5,Stick Figure,Paradise,4:20,Rock
6,Santana feat. Rob Thomas,Smooth,4:56,Rock
7,Morgan Wallen,Wasted on You,2:58,Country
8,Q-Tip,Vivrant Thing,3:16,Rap
9,Whiskey Myers,Deep Down in the South,3:31,Country
10,Jimmy Buffett,Cheeseburger in Paradise,2:51,Country
11,O.A.R.,Night Shift,4:58,Rock
12,Nappy Roots,Good Day,3:57,Rap
13,Zac Brown Band feat. Jimmy Buffett,Knee Deep,3:12,Country
14,The Doobie Brothers,Listen to the Music,3:48,Classic Rock
15,J. Cole feat. Miguel,Power Trip,4:01,Rap
16,Dierks Bentley,Somewhere on a Beach,3:34,Country
17,311,Down,2:52,Rock
18,Ludacris feat. Pharrell,Money Maker,3:52,Rap
19,Toby Keith,Red Solo Cup,3:38,Country
20,Jay-Z,99 Problems,3:54,Rap
21,Kenny Rogers,The Gambler,3:32,Country
22,Wu-Tang Clan,C.R.E.A.M.,4:12,Rap
23,AC/DC,Have a Drink on Me,3:58,Classic Rock
24,Puff Daddy feat. Ma$e & The Notorious B.I.G.,It's All About the Benjamins,4:37,Rap
25,Chris Stapleton,Might as Well Get Stoned,3:22,Country
26,Steve Miller Band,Jungle Love,3:07,Classic Rock
27,Ol' Dirty Bastard feat. Kelis,Got Your Money,4:03,Rap
28,Koe Wetzel & Jessie Murph,High Road,2:59,Country
29,Beastie Boys,Intergalactic,3:50,Rap
30,ZZ Top,La Grange,3:52,Classic Rock
31,50 Cent,I Get Money,3:53,Rap
32,Luke Combs,Ain't No Love in Oklahoma,3:04,Country
33,Cake,The Distance,3:01,Rock
34,T.I.,Whatever You Like,4:07,Rap
35,Hank Williams Jr.,All My Rowdy Friends Are Coming Over Tonight,2:52,Country
36,The Rolling Stones,Tumbling Dice,3:47,Classic Rock
37,"Nelly feat. Paul Wall, Ali & Gipp",Grillz,4:30,Rap
38,Lil Wayne feat. Static Major,Lollipop,4:59,Rap
39,Sublime,40oz. to Freedom,3:03,Rock
40,Ice Cube,You Can Do It,4:14,Rap
41,Garth Brooks,Two Piña Coladas,3:44,Country
42,Steve Earle,Copperhead Road,4:30,Country
43,Afroman,Because I Got High,3:17,Rap
44,Tom Petty,You Got Lucky,3:34,Classic Rock
45,Eminem feat. Nate Dogg,Shake That,4:34,Rap
46,Travis Tritt,Here's a Quarter (Call Someone Who Cares),2:49,Country
47,Lynyrd Skynyrd,Call Me the Breeze,5:09,Classic Rock
48,Ma$e,Welcome Back,3:20,Rap
49,Zach Bryan feat. The War and Treaty,Hey Driver,3:44,Country
50,The Killers,All These Things That I've Done,5:01,Rock
51,Cam'ron feat. Juelz Santana,Hey Ma,3:55,Rap
52,Jason Aldean,My Kinda Party,4:11,Country
53,Bob Seger,Old Time Rock and Roll,3:13,Classic Rock
54,Outkast,The Way You Move,3:54,Rap
55,Pearl Jam,Last Kiss,3:16,Rock
56,Brooks & Dunn,Neon Moon,4:24,Country
57,The Notorious B.I.G.,One More Chance (Stay with Me Remix),4:42,Rap
58,Fleetwood Mac,Go Your Own Way,3:38,Classic Rock
59,Uncle Kracker feat. Dobie Gray,Drift Away,4:19,Rock
60,Post Malone feat. Morgan Wallen,I Had Some Help,2:58,Country
61,Smash Mouth,All Star,3:20,Rock
62,Blues Traveler,Run-Around,4:39,Rock
63,Toby Keith,I Love This Bar,5:00,Country
64,Jim Croce,"Bad, Bad Leroy Brown",3:02,Classic Rock
65,Barenaked Ladies,One Week,2:50,Rock
66,David Allan Coe,You Never Even Called Me by My Name,5:12,Country
67,Biz Markie,Just a Friend,4:03,Rap
68,Darius Rucker,Wagon Wheel,4:57,Country
69,Zach Bryan feat. Kacey Musgraves,I Remember Everything,3:47,Country
70,Oasis,Don't Look Back in Anger,4:48,Rock
71,John Denver,"Take Me Home, Country Roads",3:10,Country
72,Nathaniel Rateliff & The Night Sweats,S.O.B.,4:07,Rock
73,Billy Joel,Piano Man,5:38,Classic Rock
74,Neil Diamond,Sweet Caroline,3:21,Classic Rock
75,Lynyrd Skynyrd,Sweet Home Alabama,4:43,Classic Rock
76,Bon Jovi,Livin' on a Prayer,4:09,Classic Rock
77,Garth Brooks,Friends in Low Places,4:28,Country
