Track #,Artist,Song,Length,Genre
1,O.A.R.,This Town,3:57,Rock
2,Stick Figure,Smoke Signals,5:04,Rock
3,Zach Bryan,Heading South,3:31,Country
4,Tom Petty and the Heartbreakers,Runnin' Down a Dream,4:23,Classic Rock
5,Steve Miller Band,Take the Money and Run,2:50,Classic Rock
6,AC/DC,Thunderstruck,4:52,Classic Rock
7,Eminem,Lose Yourself,5:26,Rap
8,Jay-Z,Public Service Announcement (Interlude),2:53,Rap
9,50 Cent,In da Club,3:13,Rap
10,"Dr. Dre feat. Snoop Dogg, Kurupt & Nate Dogg",The Next Episode,2:41,Rap
11,Outkast,"So Fresh, So Clean",4:00,Rap
12,The Notorious B.I.G.,Hypnotize,3:50,Rap
13,Eminem feat. Nate Dogg,'Till I Collapse,4:57,Rap
14,Morgan Wallen,Whiskey Glasses,3:54,Country
15,Luke Combs,When It Rains It Pours,3:38,Country
16,Eric Church,Drink in My Hand,3:19,Country
17,Whiskey Myers,Gasoline,3:18,Country
18,Kid Rock,All Summer Long,4:56,Rock
19,The Killers,Mr. Brightside,3:42,Rock
20,Third Eye Blind,Semi-Charmed Life,4:28,Rock
21,Sublime,Santeria,3:03,Rock
22,Foo Fighters,Everlong,4:10,Rock
23,Chris Stapleton,Tennessee Whiskey,4:53,Country
24,Tyler Childers,Feathered Indians,3:35,Country
25,Zach Bryan,Revival,4:03,Country
26,O.A.R.,That Was a Crazy Game of Poker,7:05,Rock
27,Eagles,Take It Easy,3:31,Classic Rock
28,Journey,Don't Stop Believin',4:10,Classic Rock
29,Semisonic,Closing Time,4:34,Rock
