title,artist
Ruff Ryders' Anthem,DMX
Get Low,Lil Jon & The East Side Boyz
Forgot About Dre,Dr. Dre
Back That Azz Up,Juvenile
P.I.M.P.,50 Cent
Big Pimpin',Jay-Z
Move Bitch,Ludacris
B.O.B. (Bombs Over Baghdad),Outkast
Lean Back,Terror Squad
Hot in Herre,Nelly
Gin and Juice,Snoop Dogg
Bawitdaba,Kid Rock
Ridin',Chamillionaire
Bring 'Em Out,T.I.
Break Ya Neck,Busta Rhymes
Sold Out,HARDY
A Milli,Lil Wayne
Stay Fly,Three 6 Mafia
POWER,Kanye West
Party Up (Up in Here),DMX
Crack a Bottle,Eminem
New York,Ja Rule
Feeling This,Blink-182
Show Me What You Got,Jay-Z
Made You Look,Nas
No Hands,Waka Flocka Flame
Creeps,Koe Wetzel
Hit 'Em Up,2Pac
(You Gotta) Fight for Your Right (To Party),Beastie Boys
Raise Up,Petey Pablo
Bottoms Up,Brantley Gilbert
Just a Lil Bit,50 Cent
Soul Survivor,Young Jeezy
Rap God,Eminem
Killing in the Name,Rage Against the Machine
Let's Go,Trick Daddy
Broadway Girls,Lil Durk
T.N.T.,AC/DC
Notorious Thugs,The Notorious B.I.G.
#1,Nelly
Rollin' (Air Raid Vehicle),Limp Bizkit
Go DJ,Lil Wayne
Yeah!,Usher
She's Country,Jason Aldean
Mercy,Kanye West
Insane in the Brain,Cypress Hill
American Idiot,Green Day
What You Know,T.I.
Money in the Bank,Lil Scrappy
Country Girl (Shake It for Me),Luke Bryan
Where the Hood At,DMX
What's Your Fantasy,Ludacris
All My Life,Foo Fighters
Ambitionz Az a Ridah,2Pac
American Bad Ass,Kid Rock
Tell Me When to Go,E-40
Smoke a Little Smoke,Eric Church
Money Ain't a Thang,Jay-Z
Black Betty,Ram Jam
Awnaw,Nappy Roots
Slow Jamz,Twista
Same in the End,Sublime
Slam,Onyx
All I Do Is Win,DJ Khaled
Welcome to the Jungle,Guns N' Roses
