title,artist
Sex on Fire,Kings of Leon
Izzo (H.O.V.A.),Jay-Z
Beer Never Broke My Heart,Luke Combs
You Shook Me All Night Long,AC/DC
The Real Slim Shady,Eminem
Oklahoma Smokeshow,Zach Bryan
When You Were Young,The Killers
Still D.R.E.,Dr. Dre
Last Night,Morgan Wallen
Gimme Three Steps,Lynyrd Skynyrd
Jump Around,House of Pain
Springsteen,Eric Church
The Pretender,Foo Fighters
Regulate,Warren G
Whitehouse Road,Tyler Childers
Paradise City,Guns N' Roses
Gold Digger,Kanye West
Long Hot Summer Day,Turnpike Troubadours
My Own Worst Enemy,Lit
Drop It Like It's Hot,Snoop Dogg
White Horse,Chris Stapleton
Mary Jane's Last Dance,Tom Petty and the Heartbreakers
Ride wit Me,Nelly
"February 28, 2016",Koe Wetzel
All the Small Things,Blink-182
California Love,2Pac
Dixieland Delight,Alabama
Panama,Van Halen
Big Poppa,The Notorious B.I.G.
Truck Bed,HARDY
What I Got,Sublime
HUMBLE.,Kendrick Lamar
You Look Like You Love Me,Riley Green
Sabotage,Beastie Boys
Without Me,Eminem
As Good as I Once Was,Toby Keith
Buddy Holly,Weezer
Ms. Jackson,Outkast
Callin' Baton Rouge,Garth Brooks
Black Dog,Led Zeppelin
Candy Shop,50 Cent
Stone,Whiskey Myers
Can't Stop,Red Hot Chili Peppers
Dirt Off Your Shoulder,Jay-Z
You Proof,Morgan Wallen
Fortunate Son,Creedence Clearwater Revival
It Was a Good Day,Ice Cube
Something in the Orange,Zach Bryan
Smells Like Teen Spirit,Nirvana
Int'l Players Anthem (I Choose You),UGK
Loud and Heavy,Cody Jinks
Don't Stop Me Now,Queen
Live Your Life,T.I.
Drunk on a Plane,Dierks Bentley
Seven Nation Army,The White Stripes
Mo Money Mo Problems,The Notorious B.I.G.
Hurricane,Luke Combs
Honky Tonk Women,The Rolling Stones
Not Like Us,Kendrick Lamar
Dirt Road Anthem,Jason Aldean
Love and Memories,O.A.R.
No Role Modelz,J. Cole
Sounds Like the Radio,Zach Top
Vacation,Dirty Heads
X Gon' Give It to Ya,DMX
Life in the Fast Lane,Eagles
Stand Up,Ludacris
World on Fire,Stick Figure
Pursuit of Happiness,Kid Cudi
It's a Great Day to Be Alive,Travis Tritt
The Middle,Jimmy Eat World
Touch the Sky,Kanye West
Hey Ya!,Outkast
It's My Life,Bon Jovi
