title,artist
"No Shoes, No Shirt, No Problems",Kenny Chesney
Caress Me Down,Sublime
Heart of the City (Ain't No Love),Jay-Z
Guys Like Me,Eric Church
Paradise,Stick Figure
Smooth,Santana
Wasted on You,Morgan Wallen
Vivrant Thing,Q-Tip
Deep Down in the South,Whiskey Myers
Cheeseburger in Paradise,Jimmy Buffett
Night Shift,O.A.R.
Good Day,Nappy Roots
Knee Deep,Zac Brown Band
Listen to the Music,The Doobie Brothers
Power Trip,J. Cole
Somewhere on a Beach,Dierks Bentley
Down,311
Money Maker,Ludacris
Red Solo Cup,Toby Keith
99 Problems,Jay-Z
The Gambler,Kenny Rogers
C.R.E.A.M.,Wu-Tang Clan
Have a Drink on Me,AC/DC
It's All About the Benjamins,Puff Daddy
Might as Well Get Stoned,Chris Stapleton
Jungle Love,Steve Miller Band
Got Your Money,Ol' Dirty Bastard
High Road,Koe Wetzel & Jessie Murph
Intergalactic,Beastie Boys
La Grange,ZZ Top
I Get Money,50 Cent
Ain't No Love in Oklahoma,Luke Combs
The Distance,Cake
Whatever You Like,T.I.
All My Rowdy Friends Are Coming Over Tonight,Hank Williams Jr.
Tumbling Dice,The Rolling Stones
Grillz,Nelly
Lollipop,Lil Wayne
40oz. to Freedom,Sublime
You Can Do It,Ice Cube
Two Piña Coladas,Garth Brooks
Copperhead Road,Steve Earle
Because I Got High,Afroman
You Got Lucky,Tom Petty
Shake That,Eminem
Here's a Quarter (Call Someone Who Cares),Travis Tritt
Call Me the Breeze,Lynyrd Skynyrd
Welcome Back,Ma$e
Hey Driver,Zach Bryan
All These Things That I've Done,The Killers
Hey Ma,Cam'ron
My Kinda Party,Jason Aldean
Old Time Rock and Roll,Bob Seger
The Way You Move,Outkast
Last Kiss,Pearl Jam
Neon Moon,Brooks & Dunn
One More Chance (Stay with Me Remix),The Notorious B.I.G.
Go Your Own Way,Fleetwood Mac
Drift Away,Uncle Kracker
I Had Some Help,Post Malone
All Star,Smash Mouth
Run-Around,Blues Traveler
I Love This Bar,Toby Keith
"Bad, Bad Leroy Brown",Jim Croce
One Week,Barenaked Ladies
You Never Even Called Me by My Name,David Allan Coe
Just a Friend,Biz Markie
Wagon Wheel,Darius Rucker
I Remember Everything,Zach Bryan
Don't Look Back in Anger,Oasis
"Take Me Home, Country Roads",John Denver
S.O.B.,Nathaniel Rateliff & The Night Sweats
Piano Man,Billy Joel
Sweet Caroline,Neil Diamond
Sweet Home Alabama,Lynyrd Skynyrd
Livin' on a Prayer,Bon Jovi
Friends in Low Places,Garth Brooks
