title,artist
Dreams and Nightmares,Meek Mill
Godzilla,Eminem
Ni**as in Paris,Jay-Z & Kanye West
Business,Eminem
Black and Yellow,Wiz Khalifa
Stronger,Kanye West
Patiently Waiting,50 Cent
Ante Up,M.O.P.
6 Foot 7 Foot,Lil Wayne
Fast Lane,Bad Meets Evil
Can't Hold Us,Macklemore & Ryan Lewis
The Monster,Eminem
Low,Flo Rida
Tipsy,J-Kwon
Purple Pills,D12
Hate It or Love It,The Game
Shake Ya Tailfeather,Nelly
Just Lose It,Eminem
Get Back,Ludacris
Grindin',Clipse
Bad Boy for Life,P. Diddy
Guilty Conscience,Eminem
Oh Boy,Cam'ron
Ayo Technology,50 Cent
Smack That,Akon
We Fly High,Jim Jones
Stunt 101,G-Unit
Baby Got Back,Sir Mix-a-Lot
Ice Ice Baby,Vanilla Ice
U Can't Touch This,MC Hammer
Jump,Kris Kross
Hip Hop Hooray,Naughty by Nature
It's Tricky,Run-DMC
Brass Monkey,Beastie Boys
It Takes Two,Rob Base & DJ E-Z Rock
I Got 5 on It,Luniz
Stan,Eminem
X,Xzibit
All the Way Up,Fat Joe & Remy Ma
B.M.F. (Blowin' Money Fast),Rick Ross
Like Toy Soldiers,Eminem
I Love College,Asher Roth
Crank That (Soulja Boy),Soulja Boy
Thrift Shop,Macklemore & Ryan Lewis
Renegade,Jay-Z
SICKO MODE,Travis Scott
Congratulations,Post Malone
The Motto,Drake
All of the Lights,Kanye West
I Don't Fuck with You,Big Sean
Heartless,Kanye West
No Love,Eminem
Day 'N' Nite,Kid Cudi
Started From the Bottom,Drake
I'm On One,DJ Khaled
"Airplanes, Pt. II",B.o.B
Run This Town,Jay-Z
E.I.,Nelly
Slow Motion,Juvenile
Roses,Outkast
Numb / Encore,Linkin Park & Jay-Z
Last Resort,Papa Roach
Blow the Whistle,Too $hort
Lighters,Bad Meets Evil
Forever,Drake
Love the Way You Lie,Eminem
Not Afraid,Eminem
